2024-04-05 16:33:46,379 | WARNING | GitHub exception with repo lzwme/chatgpt-sites, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/lzwme/chatgpt-sites.git', '/Volumes/T7/data/repos/TypeScript/lzwme@chatgpt-sites'], 128, b"Cloning into '/Volumes/T7/data/repos/TypeScript/lzwme@chatgpt-sites'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:02:09,715 | WARNING | GitHub exception with repo brunodev85/winlator, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/brunodev85/winlator.git', '/Volumes/T7/data/repos/Java/brunodev85@winlator'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/brunodev85@winlator'...\nPOST git-upload-pack (727 bytes)\nfatal: unable to open /Volumes/T7/data/repos/Java/brunodev85@winlator/.git/objects/pack/tmp_pack_5Ho05h: No such file or directory\nfatal: index-pack failed\n")
2024-04-05 18:02:09,715 | WARNING | GitHub exception with repo brunodev85/winlator, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/brunodev85/winlator.git', '/Volumes/T7/data/repos/Java/brunodev85@winlator'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/brunodev85@winlator'...\nPOST git-upload-pack (727 bytes)\nfatal: unable to open /Volumes/T7/data/repos/Java/brunodev85@winlator/.git/objects/pack/tmp_pack_5Ho05h: No such file or directory\nfatal: index-pack failed\n")
2024-04-05 18:02:09,715 | WARNING | GitHub exception with repo brunodev85/winlator, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/brunodev85/winlator.git', '/Volumes/T7/data/repos/Java/brunodev85@winlator'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/brunodev85@winlator'...\nPOST git-upload-pack (727 bytes)\nfatal: unable to open /Volumes/T7/data/repos/Java/brunodev85@winlator/.git/objects/pack/tmp_pack_5Ho05h: No such file or directory\nfatal: index-pack failed\n")
2024-04-05 18:02:09,715 | WARNING | GitHub exception with repo brunodev85/winlator, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/brunodev85/winlator.git', '/Volumes/T7/data/repos/Java/brunodev85@winlator'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/brunodev85@winlator'...\nPOST git-upload-pack (727 bytes)\nfatal: unable to open /Volumes/T7/data/repos/Java/brunodev85@winlator/.git/objects/pack/tmp_pack_5Ho05h: No such file or directory\nfatal: index-pack failed\n")
2024-04-05 18:02:09,715 | WARNING | GitHub exception with repo brunodev85/winlator, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/brunodev85/winlator.git', '/Volumes/T7/data/repos/Java/brunodev85@winlator'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/brunodev85@winlator'...\nPOST git-upload-pack (727 bytes)\nfatal: unable to open /Volumes/T7/data/repos/Java/brunodev85@winlator/.git/objects/pack/tmp_pack_5Ho05h: No such file or directory\nfatal: index-pack failed\n")
2024-04-05 18:02:09,715 | WARNING | GitHub exception with repo brunodev85/winlator, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/brunodev85/winlator.git', '/Volumes/T7/data/repos/Java/brunodev85@winlator'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/brunodev85@winlator'...\nPOST git-upload-pack (727 bytes)\nfatal: unable to open /Volumes/T7/data/repos/Java/brunodev85@winlator/.git/objects/pack/tmp_pack_5Ho05h: No such file or directory\nfatal: index-pack failed\n")
2024-04-05 18:11:44,351 | WARNING | GitHub exception with repo RedRoverSchool/JenkinsQA_07, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RedRoverSchool/JenkinsQA_07.git', '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:11:44,351 | WARNING | GitHub exception with repo RedRoverSchool/JenkinsQA_07, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RedRoverSchool/JenkinsQA_07.git', '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:11:44,351 | WARNING | GitHub exception with repo RedRoverSchool/JenkinsQA_07, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RedRoverSchool/JenkinsQA_07.git', '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:11:44,351 | WARNING | GitHub exception with repo RedRoverSchool/JenkinsQA_07, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RedRoverSchool/JenkinsQA_07.git', '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:11:44,351 | WARNING | GitHub exception with repo RedRoverSchool/JenkinsQA_07, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RedRoverSchool/JenkinsQA_07.git', '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:11:44,351 | WARNING | GitHub exception with repo RedRoverSchool/JenkinsQA_07, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RedRoverSchool/JenkinsQA_07.git', '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:11:44,351 | WARNING | GitHub exception with repo RedRoverSchool/JenkinsQA_07, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RedRoverSchool/JenkinsQA_07.git', '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RedRoverSchool@JenkinsQA_07'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:37:29,718 | WARNING | GitHub exception with repo jurecapuder/AndroidWeatherApp, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/jurecapuder/AndroidWeatherApp.git', '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:37:29,718 | WARNING | GitHub exception with repo jurecapuder/AndroidWeatherApp, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/jurecapuder/AndroidWeatherApp.git', '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:37:29,718 | WARNING | GitHub exception with repo jurecapuder/AndroidWeatherApp, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/jurecapuder/AndroidWeatherApp.git', '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:37:29,718 | WARNING | GitHub exception with repo jurecapuder/AndroidWeatherApp, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/jurecapuder/AndroidWeatherApp.git', '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:37:29,718 | WARNING | GitHub exception with repo jurecapuder/AndroidWeatherApp, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/jurecapuder/AndroidWeatherApp.git', '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:37:29,718 | WARNING | GitHub exception with repo jurecapuder/AndroidWeatherApp, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/jurecapuder/AndroidWeatherApp.git', '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:37:29,718 | WARNING | GitHub exception with repo jurecapuder/AndroidWeatherApp, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/jurecapuder/AndroidWeatherApp.git', '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/jurecapuder@AndroidWeatherApp'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:41:14,203 | WARNING | GitHub exception with repo Halqq/misericordia-client, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/Halqq/misericordia-client.git', '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:41:14,203 | WARNING | GitHub exception with repo Halqq/misericordia-client, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/Halqq/misericordia-client.git', '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:41:14,203 | WARNING | GitHub exception with repo Halqq/misericordia-client, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/Halqq/misericordia-client.git', '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:41:14,203 | WARNING | GitHub exception with repo Halqq/misericordia-client, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/Halqq/misericordia-client.git', '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:41:14,203 | WARNING | GitHub exception with repo Halqq/misericordia-client, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/Halqq/misericordia-client.git', '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:41:14,203 | WARNING | GitHub exception with repo Halqq/misericordia-client, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/Halqq/misericordia-client.git', '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:41:14,203 | WARNING | GitHub exception with repo Halqq/misericordia-client, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/Halqq/misericordia-client.git', '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/Halqq@misericordia-client'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:45:48,148 | WARNING | GitHub exception with repo kiegroup/kogito-runtimes, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/kiegroup/kogito-runtimes.git', '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'...\nPOST git-upload-pack (gzip 1327 to 728 bytes)\nerror: RPC failed; curl 56 Recv failure: Connection reset by peer\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 18:45:48,148 | WARNING | GitHub exception with repo kiegroup/kogito-runtimes, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/kiegroup/kogito-runtimes.git', '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'...\nPOST git-upload-pack (gzip 1327 to 728 bytes)\nerror: RPC failed; curl 56 Recv failure: Connection reset by peer\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 18:45:48,148 | WARNING | GitHub exception with repo kiegroup/kogito-runtimes, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/kiegroup/kogito-runtimes.git', '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'...\nPOST git-upload-pack (gzip 1327 to 728 bytes)\nerror: RPC failed; curl 56 Recv failure: Connection reset by peer\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 18:45:48,148 | WARNING | GitHub exception with repo kiegroup/kogito-runtimes, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/kiegroup/kogito-runtimes.git', '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'...\nPOST git-upload-pack (gzip 1327 to 728 bytes)\nerror: RPC failed; curl 56 Recv failure: Connection reset by peer\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 18:45:48,148 | WARNING | GitHub exception with repo kiegroup/kogito-runtimes, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/kiegroup/kogito-runtimes.git', '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'...\nPOST git-upload-pack (gzip 1327 to 728 bytes)\nerror: RPC failed; curl 56 Recv failure: Connection reset by peer\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 18:45:48,148 | WARNING | GitHub exception with repo kiegroup/kogito-runtimes, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/kiegroup/kogito-runtimes.git', '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'...\nPOST git-upload-pack (gzip 1327 to 728 bytes)\nerror: RPC failed; curl 56 Recv failure: Connection reset by peer\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 18:45:48,148 | WARNING | GitHub exception with repo kiegroup/kogito-runtimes, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/kiegroup/kogito-runtimes.git', '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/kiegroup@kogito-runtimes'...\nPOST git-upload-pack (gzip 1327 to 728 bytes)\nerror: RPC failed; curl 56 Recv failure: Connection reset by peer\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 18:47:56,910 | WARNING | GitHub exception with repo CaiMuCheng/LeafIDE, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/CaiMuCheng/LeafIDE.git', '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:47:56,910 | WARNING | GitHub exception with repo CaiMuCheng/LeafIDE, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/CaiMuCheng/LeafIDE.git', '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:47:56,910 | WARNING | GitHub exception with repo CaiMuCheng/LeafIDE, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/CaiMuCheng/LeafIDE.git', '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:47:56,910 | WARNING | GitHub exception with repo CaiMuCheng/LeafIDE, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/CaiMuCheng/LeafIDE.git', '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:47:56,910 | WARNING | GitHub exception with repo CaiMuCheng/LeafIDE, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/CaiMuCheng/LeafIDE.git', '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:47:56,910 | WARNING | GitHub exception with repo CaiMuCheng/LeafIDE, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/CaiMuCheng/LeafIDE.git', '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:47:56,910 | WARNING | GitHub exception with repo CaiMuCheng/LeafIDE, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/CaiMuCheng/LeafIDE.git', '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/CaiMuCheng@LeafIDE'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:50:51,918 | WARNING | GitHub exception with repo RIA-AED/RIABandwidthSaver, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RIA-AED/RIABandwidthSaver.git', '/Volumes/T7/data/repos/Java/RIA-AED@RIABandwidthSaver'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RIA-AED@RIABandwidthSaver'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:50:51,918 | WARNING | GitHub exception with repo RIA-AED/RIABandwidthSaver, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RIA-AED/RIABandwidthSaver.git', '/Volumes/T7/data/repos/Java/RIA-AED@RIABandwidthSaver'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RIA-AED@RIABandwidthSaver'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:50:51,918 | WARNING | GitHub exception with repo RIA-AED/RIABandwidthSaver, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RIA-AED/RIABandwidthSaver.git', '/Volumes/T7/data/repos/Java/RIA-AED@RIABandwidthSaver'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RIA-AED@RIABandwidthSaver'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 18:50:51,918 | WARNING | GitHub exception with repo RIA-AED/RIABandwidthSaver, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/RIA-AED/RIABandwidthSaver.git', '/Volumes/T7/data/repos/Java/RIA-AED@RIABandwidthSaver'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/RIA-AED@RIABandwidthSaver'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
